Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
Pattern illustrator Wanted,Design,Expert ($$$),Illustration & Drawing,USD,160.0,remote,ALL,fixed_price,2023-01-25 19:38:52,"Hi! I have a textile and wallpaper line and I am looking for a hand illustrator who can then refine pattern digitally. 
If interested please message me. I pay by project.

Thank you!
Paula",,2017-09-13,Roosevelt,United States,USD,
Service Brochure update ,Design,Expert ($$$),Graphic Design,GBP,80.0,remote,ALL,fixed_price,2023-01-25 19:17:22,"I am  looking for a designer to update certain sections of our 2023 Service Calendar using the original InDesign files from the  penultimate year. We are looking for someone who can use the design we had developed for our 2020 brochure and do some minor design changes if necessary. (We would supply you with the InDesign files of the brochure). You can find link to our 2022 brochure :
https://thegtcgroup.com/res/The_GTC_Group_Brochure_2021_2022.pdf

Key sections to be updated include the following:
Cover and welcome page image to be changed and updated .
Calendar page changed and updated 
Paginations/pages updated 

All other sections in the Brochure will remain unchanged 



 ",,2017-04-16,Surrey,United Kingdom,GBP,
Week People Schedule Hours working and month payroll,Technology & Programming,Entry ($),Data Science & Analysis,EUR,7.0,remote,ALL,fixed_price,2023-01-25 18:54:17,"Hallo,
i need an excel expert to do a Hours planner and a monthly hours report for payroll, i've got all different ecel pages that need to be merge in one easy file that cn be done weekly.
i need also with the same page a sheet generator only with actualy weekly hours",less than 1 week,2015-09-14,Modena,Italy,EUR,Web Proposal
Create a collection of designs ready for print,Design,Expert ($$$),Fashion & Clothing,GBP,125.0,remote,ALL,fixed_price,2023-01-25 18:48:17,"Hi All,

Thank you for clicking on my project! Please find below a description of the job.

I am looking for a graphic designer or someone who is familiar with creating graphics for print. You will also preferably have tech pack experience to avoid having to use multiple freelancers but this is not a must.

Brief:

T-shirts (both slogan and basic graphics)
Hoodies (both slogan and basic graphics)
Tracksuits (slogan)

I already have the ideas, logo, and examples I can share. 

Previous experience of designing graphics/designs is a must to avoid delays and complications. 

Any questions, please ask.

Kind regards,
Abdi ",,2023-01-25,Bromley,United Kingdom,GBP,
3 editing photo ,"Video, Photo & Image",Expert ($$$),Image Editing,EUR,100.0,remote,ALL,fixed_price,2023-01-25 18:36:26,"Hello

I would like you to remove the background from my 3 photos that I will put below

It will help me to advance my project

Thank you",,2022-12-19,Tours,France,EUR,Marketing Strategist
"Linkedin, facebook ,google maps , Binge maps web scraping",Technology & Programming,Intermediate ($$),Databases,USD,259.0,remote,ALL,fixed_price,2023-01-25 18:18:37,"Looking for someone to do,Linkedin web scraping, facebook web scraping,google maps web scraping , Binge maps web scraping . 4 excel sheets as attached are there whereby automated web extraction / data extraction using various tools that they have . Linkedin , facebook , google maps have various restrictions whereby you can get blocked if too may entries extracted at one point so you need to navigate and find a way around the same . Project just does not include providing a software to do the same but involves completed the whole work and submitting the final sheets .If person is only specialising in linkedin data extraction then he could opt for Linkedin whereby work will be continuous throughout year . Plenty of free and paid softwares in the market for Linked data extraction , facebook data extraction ,Google maps data extraction , binge maps data extraction .  ",,2022-04-13,Mumbai,India,USD,
Help setting up Google AdWords PPC,Digital Marketing,Entry ($),"SEM, Adwords & PPC",EUR,30.0,remote,ALL,fixed_price,2023-01-25 18:04:12,"I require help to setup a Google AdWords PPC advertisement.
Screen share required
Immediate start required.",,2020-02-03,Marbella,Spain,EUR,
CGI images 3D visualisation,Design,Intermediate ($$),3D Design,GBP,120.0,remote,ALL,fixed_price,2023-01-25 18:03:29,"I need 4 images of the proposed house from a different agles showing the extended house will have on its surroundings. I will provide photoes of the surrounding and the house has to be modeled in using the 2D plans which are attached. 
It is a semidetached house so first image will need to show how the house will look directly from the front and then 2 images from the street angle and 1 image from the above it will be a photo taken by a drone. 

To clarify the house will not be needing to be visualise on its own it needs o be part of a photo to show how the house will look with other properties around it.",,2015-11-23,Cricklade,United Kingdom,GBP,
I need a website design with e commerce functionalities ,Design,Intermediate ($$),Web Design,GBP,75.0,remote,ALL,fixed_price,2023-01-25 18:01:39,"I need a website designer that can embed e commerce functionalities so that I can create and sell online courses, blog posts , have podcasts, , online contact form . I am an educator who focuses on the development of critical thinking in the context of language and communication. My target audience is primary school children all the way up to adults.",1 - 2 weeks,2023-01-25,Reading,United Kingdom,GBP,
Full-Stack Developer for Multivendor Digital Store,Technology & Programming,Expert ($$$),Website Development,USD,500.0,remote,ALL,fixed_price,2023-01-25 17:31:20,"I am looking for an experienced full-stack developer to help us build a multivendor digital store. The store will be similar to Flaticon.com, Iconfinder.com, and Iconscout.com, with the main feature being an icon editor and the ability to offer both free and premium plans. The store will also have an ""available styles"" section and the ability to filter by popular and recent icons. There will be an author section and an author dashboard for vendors to manage their products.

The technology stack for the project will include React.js + Next.js for the frontend, Node.js with MojoDB for the backend, and a CMS for managing the content. The frontend design will be built with either Bootstrap or Tailwind.

The successful candidate will have strong experience with React.js, Node.js, and database development, as well as experience with building scalable e-commerce platforms. If you have a portfolio of relevant projects, please include it with your application.

We are excited to work with a talented developer to bring this project to life!",,2012-09-14,Islamabad,Pakistan,USD,"Logo Designer, Creative Logo, Beautiful Logo"
